,Наименование,Год,Регистрационный номер,"Возраст компании, лет",Дата ликвидации,Вид деятельности/отрасль,Форма собственности,Важная информация,"Коэффициент быстрой ликвидности, %","Коэффициент обеспеченности собственными оборотными средствами, %","Коэффициент оборачиваемости совокупных активов, %","Коэффициент текущей ликвидности, %","Оборачиваемость дебиторской задолженности, разы","Оборачиваемость кредиторской задолженности, разы","Рентабельность активов (ROA), %","Рентабельность капитала (ROE), %","Рентабельность продаж, %","Соотношение совокупного долга к капиталу, %",next_year_liqudation
11230,"СИБ-ТРЕЙД, ООО",2016,1022402298962.0,25.0,2021,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,1.7967,-0.0289,3.481,3.1321,6.2,23.6,0.0219,0.4105,0.0358,11.8137,0
11231,"СИБ-ТРЕЙД, ООО",2017,1022402298962.0,25.0,2021,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.7392,-0.7942,2.5448,1.7903,5.8,12.2,-0.3583,3.6346,-0.0037,-2.9827,0
11232,"СИБ-ТРЕЙД, ООО",2018,1022402298962.0,25.0,2021,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.1301,-6.6884,0.2736,0.1301,0.7,1.0,-1.4454,1.1093,-0.4479,-1.1487,0
11233,"СИБ-ТРЕЙД, ООО",2019,1022402298962.0,25.0,2021,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.1347,-6.4236,,0.1347,,,-0.26,0.0473,,-1.0956,0
11234,"СИБ-ТРЕЙД, ООО",2020,1022402298962.0,25.0,2021,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.1325,-6.5495,,0.1325,,,-0.0144,0.0022,,-1.0931,1
11198,"СЗПК, ПАО",2016,1022601930361.0,29.0,2021,Производство электрического и электронного оборудования для автотранспортных средств,16 - Частная собственность,Ликвидировано вследствие банкротства (13.10.2021).,0.4365,0.0411,0.1106,1.0845,0.4,0.2,0.0,0.0001,-0.3952,0.8074,0
11199,"СЗПК, ПАО",2017,1022601930361.0,29.0,2021,Производство электрического и электронного оборудования для автотранспортных средств,16 - Частная собственность,Ликвидировано вследствие банкротства (13.10.2021).,0.3997,0.0571,0.037,1.0632,0.1,0.1,-0.107,-0.5446,-0.5662,1.141,0
11200,"СЗПК, ПАО",2018,1022601930361.0,29.0,2021,Производство электрического и электронного оборудования для автотранспортных средств,16 - Частная собственность,Ликвидировано вследствие банкротства (13.10.2021).,0.1533,-0.3361,0.0344,0.75,0.1,0.0,-0.292,-5.5662,-0.4368,-2.6398,0
11201,"СЗПК, ПАО",2019,1022601930361.0,29.0,2021,Производство электрического и электронного оборудования для автотранспортных средств,16 - Частная собственность,Ликвидировано вследствие банкротства (13.10.2021).,0.0507,-18.1844,0.0075,0.0521,0.1,,-1.3537,1.4897,-12.1498,-0.3482,0
11202,"СЗПК, ПАО",2020,1022601930361.0,29.0,2021,Производство электрического и электронного оборудования для автотранспортных средств,16 - Частная собственность,Ликвидировано вследствие банкротства (13.10.2021).,0.0159,-61.8077,,0.0159,,,-1.5765,0.1129,,-0.3152,1
3323,"ДАЛЬМОСТОСТРОЙ, АО",2016,1022701126216.0,32.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (21.10.2021).,0.038,-15.3466,0.4615,0.0625,1.8,0.1,-0.1789,0.03,-0.8211,-0.0827,0
3324,"ДАЛЬМОСТОСТРОЙ, АО",2017,1022701126216.0,32.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (21.10.2021).,0.0088,-39.2903,0.195,0.0253,1.1,0.0,-0.4959,0.0625,-2.7831,-0.0777,0
3325,"ДАЛЬМОСТОСТРОЙ, АО",2018,1022701126216.0,32.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (21.10.2021).,0.004,-84.1021,0.0034,0.012,,,-0.1015,0.0083,0.6557,-0.0771,0
3326,"ДАЛЬМОСТОСТРОЙ, АО",2019,1022701126216.0,32.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (21.10.2021).,0.0026,-162.5654,,0.0062,,,0.0119,-0.0007,,-0.0771,0
3327,"ДАЛЬМОСТОСТРОЙ, АО",2020,1022701126216.0,32.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (21.10.2021).,0.0013,-779.4883,,0.0013,,,-0.0598,0.0032,,-0.0769,1
12039,"СП АСПЕКТ-СТРОЙ, ООО",2016,1022900509532.0,23.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (11.11.2021).,1.0166,0.0853,0.8155,1.1219,1.6,1.3,0.0168,0.0566,0.0518,0.1539,0
12040,"СП АСПЕКТ-СТРОЙ, ООО",2017,1022900509532.0,23.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (11.11.2021).,0.9463,0.117,1.9821,1.306,4.8,3.1,0.0032,0.0115,0.0154,0.4193,0
12041,"СП АСПЕКТ-СТРОЙ, ООО",2018,1022900509532.0,23.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (11.11.2021).,1.0537,0.0067,1.6076,1.1239,9.7,2.6,0.0196,0.0722,0.0751,0.3461,0
12042,"СП АСПЕКТ-СТРОЙ, ООО",2019,1022900509532.0,23.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (11.11.2021).,0.1892,-2.0139,0.9333,0.3577,7.9,1.5,0.1145,0.3799,0.227,0.1469,0
12043,"СП АСПЕКТ-СТРОЙ, ООО",2020,1022900509532.0,23.0,2021,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (11.11.2021).,0.1052,-3.1569,0.0243,0.2585,0.3,,-0.0813,-0.2351,-2.8445,0.1864,1
10617,РЫБ. К-З ИМ. КАРЛА МАРКСА,2016,1023000827630.0,32.0,2021,Рыболовство морское,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2021).,4.334,0.8867,0.1418,8.8255,1.1,4.1,0.0027,0.0028,0.0516,0.0,0
10618,РЫБ. К-З ИМ. КАРЛА МАРКСА,2017,1023000827630.0,32.0,2021,Рыболовство морское,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2021).,2.9039,0.8297,0.0796,5.8703,139.4,2.3,-0.0392,-0.0408,-0.1297,0.0,0
10619,РЫБ. К-З ИМ. КАРЛА МАРКСА,2018,1023000827630.0,32.0,2021,Рыболовство морское,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2021).,2.5791,0.614,0.0157,2.591,15.7,0.3,-0.0163,-0.0172,-1.0,,0
10620,РЫБ. К-З ИМ. КАРЛА МАРКСА,2019,1023000827630.0,32.0,2021,Рыболовство морское,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2021).,2.5845,0.6148,0.0217,2.5958,16.3,0.3,-0.0541,-0.0578,-1.8489,,0
10621,РЫБ. К-З ИМ. КАРЛА МАРКСА,2020,1023000827630.0,32.0,2021,Рыболовство морское,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2021).,2.7351,0.636,0.0161,2.7476,11.7,0.3,-0.0165,-0.0176,-1.0224,,1
10320,"РОСПЕЧАТЬ БЕЛГОРОДСКОЙ ОБЛАСТИ, ЗАОР (НП)",2016,1023101676080.0,32.0,2021,Торговля розничная газетами и журналами в специализированных магазинах,16 - Частная собственность,Ликвидировано вследствие банкротства (22.06.2021).,0.0613,-5.2768,1.7315,0.1899,70.3,2.7,-0.1702,-0.7879,-0.1271,1.0441,0
10321,"РОСПЕЧАТЬ БЕЛГОРОДСКОЙ ОБЛАСТИ, ЗАОР (НП)",2017,1023101676080.0,32.0,2021,Торговля розничная газетами и журналами в специализированных магазинах,16 - Частная собственность,Ликвидировано вследствие банкротства (22.06.2021).,0.048,-15.9769,0.5167,0.0664,18.1,0.6,-0.3059,17.9167,-0.6377,-0.7494,0
10322,"РОСПЕЧАТЬ БЕЛГОРОДСКОЙ ОБЛАСТИ, ЗАОР (НП)",2018,1023101676080.0,32.0,2021,Торговля розничная газетами и журналами в специализированных магазинах,16 - Частная собственность,Ликвидировано вследствие банкротства (22.06.2021).,0.0993,-9.3583,0.0001,0.1111,,,0.1346,-0.9997,-1237.3333,-1.8893,0
10323,"РОСПЕЧАТЬ БЕЛГОРОДСКОЙ ОБЛАСТИ, ЗАОР (НП)",2019,1023101676080.0,32.0,2021,Торговля розничная газетами и журналами в специализированных магазинах,16 - Частная собственность,Ликвидировано вследствие банкротства (22.06.2021).,0.3165,-2.1294,,0.3407,,,-0.1336,0.7012,,-0.2114,0
10324,"РОСПЕЧАТЬ БЕЛГОРОДСКОЙ ОБЛАСТИ, ЗАОР (НП)",2020,1023101676080.0,32.0,2021,Торговля розничная газетами и журналами в специализированных магазинах,16 - Частная собственность,Ликвидировано вследствие банкротства (22.06.2021).,0.0735,-13.81,0.0078,0.0735,,,0.011,-0.008,-32.0448,-0.0873,1
3738,"ДОНАГРОГАЗ, ООО",2016,1023405562157.0,31.0,2021,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.0169,-8.7572,0.1164,0.1889,8.0,0.1,-0.0488,0.0672,-0.3643,-1.1106,0
3739,"ДОНАГРОГАЗ, ООО",2017,1023405562157.0,31.0,2021,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.0597,-6.4785,0.1601,0.2429,4.7,0.2,-0.0341,0.0435,-0.1977,-1.0634,0
3740,"ДОНАГРОГАЗ, ООО",2018,1023405562157.0,31.0,2021,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.0637,-7.1512,0.1367,0.2234,2.3,0.1,-0.0727,0.0834,-0.4873,-0.9782,0
3741,"ДОНАГРОГАЗ, ООО",2019,1023405562157.0,31.0,2021,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.4606,-2.8337,0.3248,0.4606,1.0,0.2,-0.7169,0.4496,-0.6993,-0.6191,0
3742,"ДОНАГРОГАЗ, ООО",2020,1023405562157.0,31.0,2021,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (21.09.2021).,0.0255,-57.1904,0.0209,0.0255,,,-0.2009,0.0367,0.5185,-0.3619,1
10645,"РЭК, ЗАО",2016,1023701758398.0,24.0,2021,Производство электроэнергии,16 - Частная собственность,Ликвидировано вследствие банкротства (12.07.2021).,0.7204,-2.9121,0.1618,0.7242,0.5,0.4,0.1292,-0.2504,-0.0655,-2.1912,0
10646,"РЭК, ЗАО",2017,1023701758398.0,24.0,2021,Производство электроэнергии,16 - Частная собственность,Ликвидировано вследствие банкротства (12.07.2021).,0.8132,-2.1099,0.1853,0.8168,0.5,0.4,0.0302,-0.0717,0.0256,-2.2568,0
10647,"РЭК, ЗАО",2018,1023701758398.0,24.0,2021,Производство электроэнергии,16 - Частная собственность,Ликвидировано вследствие банкротства (12.07.2021).,0.8806,-2.0922,0.1723,0.8843,0.4,0.3,-0.1094,0.2499,0.1025,-2.0504,0
10648,"РЭК, ЗАО",2019,1023701758398.0,24.0,2021,Производство электроэнергии,16 - Частная собственность,Ликвидировано вследствие банкротства (12.07.2021).,0.9248,-1.6896,0.114,0.9295,0.2,0.2,-0.0173,0.0368,-0.1414,-1.9764,0
10649,"РЭК, ЗАО",2020,1023701758398.0,24.0,2021,Производство электроэнергии,16 - Частная собственность,Ликвидировано вследствие банкротства (12.07.2021).,0.1094,-21.2007,0.0965,0.1152,0.2,0.1,-0.6633,0.6295,0.0553,-0.8266,1
3152,"ГРАМОТЕИНСКИЕ ЦЭММ, ООО",2016,1024200540726.0,27.0,2021,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (30.08.2021).,0.7415,-0.3064,0.5284,0.7927,2.1,1.8,0.027,0.1722,0.0009,2.9898,0
3153,"ГРАМОТЕИНСКИЕ ЦЭММ, ООО",2017,1024200540726.0,27.0,2021,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (30.08.2021).,0.7246,-0.4412,0.2435,0.7675,0.9,0.8,-0.0832,-0.6474,-0.1241,5.6436,0
3154,"ГРАМОТЕИНСКИЕ ЦЭММ, ООО",2018,1024200540726.0,27.0,2021,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (30.08.2021).,0.7535,-0.3688,0.5237,0.7848,1.4,1.2,-0.0454,-0.8111,0.0451,13.7527,0
3155,"ГРАМОТЕИНСКИЕ ЦЭММ, ООО",2019,1024200540726.0,27.0,2021,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (30.08.2021).,0.7615,-0.3783,0.0925,0.7769,0.2,0.2,-0.0226,-1.2223,-0.2957,57.0582,0
3156,"ГРАМОТЕИНСКИЕ ЦЭММ, ООО",2020,1024200540726.0,27.0,2021,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (30.08.2021).,0.086,-11.3952,0.0129,0.086,,,-0.9609,4.3914,-4.9301,-1.1328,1
6300,"КУРГАНСТРОЙСЕРВИС, ООО",2016,1024501523914.0,23.0,2021,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",16 - Частная собственность,Ликвидировано вследствие банкротства (08.04.2021).,0.9983,0.5075,1.0383,2.0654,2.8,3.2,0.0691,0.1305,0.0151,0.1499,0
6301,"КУРГАНСТРОЙСЕРВИС, ООО",2017,1024501523914.0,23.0,2021,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",16 - Частная собственность,Ликвидировано вследствие банкротства (08.04.2021).,0.2614,0.4155,0.6338,1.7109,2.9,1.6,-0.0119,-0.0211,0.0257,0.0323,0
6302,"КУРГАНСТРОЙСЕРВИС, ООО",2018,1024501523914.0,23.0,2021,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",16 - Частная собственность,Ликвидировано вследствие банкротства (08.04.2021).,0.2064,-0.6011,0.2683,0.6246,1.8,0.4,-0.1018,-0.3009,-0.7087,,0
6303,"КУРГАНСТРОЙСЕРВИС, ООО",2019,1024501523914.0,23.0,2021,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",16 - Частная собственность,Ликвидировано вследствие банкротства (08.04.2021).,0.347,-0.6961,0.0125,0.5896,,,-0.0702,0.7205,-3.2875,,0
6304,"КУРГАНСТРОЙСЕРВИС, ООО",2020,1024501523914.0,23.0,2021,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",16 - Частная собственность,Ликвидировано вследствие банкротства (08.04.2021).,1.002,0.002,0.0268,1.002,0.1,,-0.7537,7.3706,-2.5534,,1
4360,"ЗАВОД ЖЕЛЕЗОБЕТОН, ОАО",2016,1024840857140.0,29.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2021).,0.0429,-7.8586,0.0485,0.1216,0.6,0.0,-0.4676,3.0731,-2.3783,-0.2437,0
4361,"ЗАВОД ЖЕЛЕЗОБЕТОН, ОАО",2017,1024840857140.0,29.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2021).,0.0492,-8.5711,0.0392,0.1088,0.7,0.0,-0.0345,0.0827,-2.6903,-0.123,0
4362,"ЗАВОД ЖЕЛЕЗОБЕТОН, ОАО",2018,1024840857140.0,29.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2021).,0.129,-6.9919,0.0451,0.1295,0.3,,-0.379,0.543,-3.3779,-0.0699,0
4363,"ЗАВОД ЖЕЛЕЗОБЕТОН, ОАО",2019,1024840857140.0,29.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2021).,0.1268,-7.1648,0.0564,0.1268,0.3,,-0.0229,0.0217,-0.6564,-0.0656,0
4364,"ЗАВОД ЖЕЛЕЗОБЕТОН, ОАО",2020,1024840857140.0,29.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2021).,0.1077,-8.6106,0.0027,0.1077,,,-0.4513,0.2902,-19.0389,-0.049,1
7421,"МРК-ИНЖИНИРИНГ, ООО",2016,1025003526217.0,26.0,2021,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (19.10.2021).,1.0066,0.2768,0.3637,2.1044,1.1,0.9,0.004,0.0175,0.0852,1.2376,0
7422,"МРК-ИНЖИНИРИНГ, ООО",2017,1025003526217.0,26.0,2021,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (19.10.2021).,1.0348,0.17,0.0695,2.2882,0.2,0.2,-0.1223,-0.53,-1.1144,2.6157,0
7423,"МРК-ИНЖИНИРИНГ, ООО",2018,1025003526217.0,26.0,2021,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (19.10.2021).,0.4588,-1.7907,0.0146,0.6135,0.1,,-0.3624,1.607,-3.2375,-1.0769,0
7424,"МРК-ИНЖИНИРИНГ, ООО",2019,1025003526217.0,26.0,2021,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (19.10.2021).,0.4828,-2.5249,,0.4828,,,-0.1377,0.0854,,-0.9369,0
7425,"МРК-ИНЖИНИРИНГ, ООО",2020,1025003526217.0,26.0,2021,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (19.10.2021).,0.15,-10.483,,0.15,,,-0.5535,0.2011,,-0.7668,1
9862,"РАССВЕТ, ООО",2016,1025200870386.0,29.0,2021,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (16.12.2021).,0.1163,0.1944,0.7462,1.2413,27.8,2.3,-0.0161,-0.0247,-0.12,0.0,0
9863,"РАССВЕТ, ООО",2017,1025200870386.0,29.0,2021,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (16.12.2021).,0.138,-0.0336,0.781,0.9675,16.9,2.2,-0.0625,-0.0994,-0.1382,0.0,0
9864,"РАССВЕТ, ООО",2018,1025200870386.0,29.0,2021,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (16.12.2021).,0.2235,0.0242,0.8755,1.0248,11.0,2.0,-0.3497,-0.6298,-0.4719,,0
9865,"РАССВЕТ, ООО",2019,1025200870386.0,29.0,2021,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (16.12.2021).,0.0629,0.1763,0.8033,1.2141,10.7,1.7,0.1005,0.1894,-0.1789,,0
9866,"РАССВЕТ, ООО",2020,1025200870386.0,29.0,2021,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (16.12.2021).,0.047,-2.0052,0.4659,0.3328,17.1,0.9,-0.2913,-0.5938,-0.4121,,1
14877,"УПСМ, ООО",2016,1025200912593.0,23.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (30.03.2021).,0.0299,-12.6288,0.0438,0.1045,1.7,0.3,-0.1144,0.4983,-2.3065,-3.7226,0
14878,"УПСМ, ООО",2017,1025200912593.0,23.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (30.03.2021).,0.0376,-12.2969,0.0046,0.1057,0.1,0.0,-0.0355,0.1106,0.1446,-3.3324,0
14879,"УПСМ, ООО",2018,1025200912593.0,23.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (30.03.2021).,0.0394,-2.9046,0.0025,0.3614,0.1,,-0.0279,0.0774,1.0,-3.0567,0
14880,"УПСМ, ООО",2019,1025200912593.0,23.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (30.03.2021).,0.0919,-7.8591,0.0074,0.1573,0.1,,-1.0177,0.9456,-53.6944,-1.0944,0
14881,"УПСМ, ООО",2020,1025200912593.0,23.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (30.03.2021).,0.0955,-7.6579,0.0299,0.1611,0.1,,-0.1928,0.0561,0.4133,-1.0347,1
7763,"НЖК, АО",2016,1025402464119.0,31.0,2021,Производство приправ и пряностей,16 - Частная собственность,Ликвидировано вследствие банкротства (28.07.2021).,1.4814,0.3406,0.8225,1.5202,1.0,1.9,0.0382,0.0851,0.0796,0.1151,0
7764,"НЖК, АО",2017,1025402464119.0,31.0,2021,Производство приправ и пряностей,16 - Частная собственность,Ликвидировано вследствие банкротства (28.07.2021).,1.8131,0.4569,0.5238,1.8483,0.6,1.1,0.0346,0.0741,0.1037,0.1069,0
7765,"НЖК, АО",2018,1025402464119.0,31.0,2021,Производство приправ и пряностей,16 - Частная собственность,Ликвидировано вследствие банкротства (28.07.2021).,11.9645,0.8061,0.6224,12.5506,0.8,2.3,0.0236,0.0362,0.0691,0.1052,0
7766,"НЖК, АО",2019,1025402464119.0,31.0,2021,Производство приправ и пряностей,16 - Частная собственность,Ликвидировано вследствие банкротства (28.07.2021).,1.6912,0.0671,0.4846,1.7008,0.7,3.2,-0.8602,-1.1952,0.1323,0.432,0
7767,"НЖК, АО",2020,1025402464119.0,31.0,2021,Производство приправ и пряностей,16 - Частная собственность,Ликвидировано вследствие банкротства (28.07.2021).,2.36,0.5702,0.0155,2.36,,,0.3476,0.6138,-0.6694,,1
9182,"ПРЕДПРИЯТИЕ КВАДРАТ, ООО",2016,1025500974652.0,33.0,2021,Разработка компьютерного программного обеспечения,16 - Частная собственность,Ликвидировано вследствие банкротства (09.12.2021).,0.1742,-0.6215,0.2662,0.6167,19.5,0.6,-0.84,-1.6218,-2.9931,0.0,0
9183,"ПРЕДПРИЯТИЕ КВАДРАТ, ООО",2017,1025500974652.0,33.0,2021,Разработка компьютерного программного обеспечения,16 - Частная собственность,Ликвидировано вследствие банкротства (09.12.2021).,0.2335,-0.6401,1.2593,0.6097,35.8,1.2,-0.3224,7.6952,-0.4626,0.0,0
9184,"ПРЕДПРИЯТИЕ КВАДРАТ, ООО",2018,1025500974652.0,33.0,2021,Разработка компьютерного программного обеспечения,16 - Частная собственность,Ликвидировано вследствие банкротства (09.12.2021).,0.1237,-2.2423,1.6574,0.3084,10.0,0.8,-1.7474,1.6283,-0.5095,,0
9185,"ПРЕДПРИЯТИЕ КВАДРАТ, ООО",2019,1025500974652.0,33.0,2021,Разработка компьютерного программного обеспечения,16 - Частная собственность,Ликвидировано вследствие банкротства (09.12.2021).,0.0014,-4.9087,0.2252,0.1692,1.2,0.1,-1.3371,0.41,-4.1673,,0
9186,"ПРЕДПРИЯТИЕ КВАДРАТ, ООО",2020,1025500974652.0,33.0,2021,Разработка компьютерного программного обеспечения,16 - Частная собственность,Ликвидировано вследствие банкротства (09.12.2021).,0.1244,-1.6732,0.0637,0.3741,2.8,,1.9363,-0.657,-7.5234,,1
5456,"КЕРАМИК, ООО",2018,1025600543330.0,31.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (16.08.2021).,0.2006,-4.1209,0.0333,0.2006,0.1,,-0.8747,0.775,1.0,-0.0426,0
5457,"КЕРАМИК, ООО",2019,1025600543330.0,31.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (16.08.2021).,0.2945,-2.4881,0.0744,0.2945,0.1,,-0.1479,0.107,0.9626,-0.0492,0
5458,"КЕРАМИК, ООО",2020,1025600543330.0,31.0,2021,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",16 - Частная собственность,Ликвидировано вследствие банкротства (16.08.2021).,0.2403,-3.1621,0.8948,0.2403,1.2,0.3,-0.0823,0.0445,0.2356,,1
8441,"ОРЛОВСКИЙ КСК, ДООО",2016,1025700788850.0,24.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (13.04.2021).,0.2904,-0.3083,1.1555,0.7643,3.3,1.2,-0.3761,-14.7611,-0.3821,0.0,0
8442,"ОРЛОВСКИЙ КСК, ДООО",2017,1025700788850.0,24.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (13.04.2021).,0.1487,-0.8579,0.8056,0.5382,2.6,0.6,-0.3425,0.8185,-0.4403,0.0,0
8443,"ОРЛОВСКИЙ КСК, ДООО",2018,1025700788850.0,24.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (13.04.2021).,0.1506,-1.9322,0.11,0.341,0.3,0.1,-0.3326,0.2903,-1.0744,,0
8444,"ОРЛОВСКИЙ КСК, ДООО",2019,1025700788850.0,24.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (13.04.2021).,0.1473,-1.9703,0.1844,0.3367,0.4,0.1,-0.0696,0.036,0.0067,,0
8445,"ОРЛОВСКИЙ КСК, ДООО",2020,1025700788850.0,24.0,2021,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (13.04.2021).,0.136,-5.8538,0.0533,0.1459,0.1,,-0.7656,0.2444,-2.012,,1
6702,"ЛУНИНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД, ООО",2016,1025800857719.0,33.0,2021,Производство готовых кормов для животных,16 - Частная собственность,Ликвидировано вследствие банкротства (20.05.2021).,0.3185,-5.1945,0.2901,0.4752,2.1,3.6,0.0011,0.0015,0.046,0.0119,0
6703,"ЛУНИНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД, ООО",2017,1025800857719.0,33.0,2021,Производство готовых кормов для животных,16 - Частная собственность,Ликвидировано вследствие банкротства (20.05.2021).,1.6261,-0.2016,0.186,1.7229,1.2,1.5,0.0011,0.0016,-0.0002,0.0118,0
6704,"ЛУНИНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД, ООО",2018,1025800857719.0,33.0,2021,Производство готовых кормов для животных,16 - Частная собственность,Ликвидировано вследствие банкротства (20.05.2021).,0.194,-5.784,0.1908,0.2599,1.0,0.8,-0.6231,-1.1889,-0.7829,0.0769,0
6705,"ЛУНИНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД, ООО",2019,1025800857719.0,33.0,2021,Производство готовых кормов для животных,16 - Частная собственность,Ликвидировано вследствие банкротства (20.05.2021).,0.3014,-4.6425,,0.3014,,,-0.0006,0.0004,,-0.5122,0
6706,"ЛУНИНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД, ООО",2020,1025800857719.0,33.0,2021,Производство готовых кормов для животных,16 - Частная собственность,Ликвидировано вследствие банкротства (20.05.2021).,0.2877,-4.8929,,0.2877,,,-0.0465,0.0098,,-0.5046,1
