№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
645;1140280409257;22.12.2014;10;14.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;24;14;2;;Прекратило деятельность при присоединении (14.05.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";181 428 000;83 989 000;47 399 000;12 290 000;;8 376 000;7 732 000;5 984 000;15 000;;8 315 000;7 671 000;5 923 000;;;181 428 000;83 989 000;47 399 000;12 290 000;;
646;1152724000857;12.02.2015;10;07.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;21;13;;;Прекратило деятельность при присоединении (07.04.2023).;;27 512 000;27 839 000;12 069 000;;;4 330 000;4 719 000;2 631 000;;;3 772 000;3 842 000;1 345 000;;;27 107 000;27 691 000;11 563 000;;;
647;1112536017659;19.10.2011;13;07.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;49;34;;;Прекратило деятельность при присоединении (07.04.2023).;;44 860 000;54 836 000;34 100 000;;;8 504 000;10 909 000;3 606 000;;;8 127 000;10 283 000;2 560 000;;;44 668 000;53 798 000;33 288 000;;;
648;1132130016479;04.12.2013;11;07.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;23;11;;;Прекратило деятельность при присоединении (07.04.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";6 752 000;7 942 000;4 393 000;;;1 400 000;1 242 000;582 000;;;1 073 000;907 000;249 000;;;6 685 000;7 939 000;4 095 000;;;
649;1107447009218;26.07.2010;15;07.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;26;18;;;Прекратило деятельность при присоединении (07.04.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";23 977 000;31 239 000;17 456 000;;;4 598 000;7 299 000;2 252 000;;;3 735 000;6 424 000;1 050 000;;;23 623 000;31 059 000;16 907 000;;;
650;1136501003440;22.05.2013;12;07.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;18;13;;;Прекратило деятельность при присоединении (07.04.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";19 026 000;24 741 000;15 688 000;;;3 592 000;3 058 000;2 137 000;;;2 511 000;1 924 000;1 434 000;;;18 805 000;24 561 000;15 251 000;;;
651;1165321058440;09.12.2016;8;21.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;31;28;25;24;Прекратило деятельность при присоединении (21.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";174 078 000;201 164 000;212 337 000;223 736 000;231 428 000;32 093 000;36 740 000;47 606 000;69 630 000;64 823 000;70 431 000;83 888 000;107 730 000;133 936 000;126 598 000;173 711 000;201 044 000;212 147 000;219 593 000;221 035 000;2 531 000
652;1156027008818;13.11.2015;9;11.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;60;71;72;26;3;Прекратило деятельность при присоединении (11.04.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";450 548 000;527 531 000;571 216 000;314 171 000;31 752 000;79 115 000;88 826 000;113 321 000;18 505 000;18 757 000;112 081 000;131 252 000;171 318 000;83 368 000;80 826 000;448 518 000;526 986 000;570 494 000;302 274 000;30 584 000;2 794 000
653;1187456028539;10.07.2018;7;31.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;232;236;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (31.10.2023).;;223 004 000;239 290 000;;;;64 273 000;62 312 000;;;;59 332 000;28 077 000;;;;221 247 000;199 103 000;;;;
654;1166196058357;16.02.2016;9;01.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;21;21;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (01.11.2024).;"""Реестр монополий по данным ФАС"", ""Реестр операторов, осуществляющих обработку персональных данных""";37 637 000;32 723 000;35 400 000;;;13 714 000;10 981 000;6 937 000;;;20 904 000;23 654 000;21 374 000;;;37 204 000;31 320 000;30 737 000;;;
655;1207400037195;12.10.2020;5;09.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;118;182;;;Прекратило деятельность при присоединении (09.08.2023).;;659 000;648 303 000;1 356 449 000;;;4 585 000;95 299 000;131 176 000;;;4 948 000;115 217 000;146 779 000;;;626 000;615 204 000;1 248 238 000;;;
656;1095902000897;11.02.2009;16;21.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;117;121;114;;;Прекратило деятельность при присоединении (21.02.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";175 193 000;239 329 000;188 191 000;;;53 723 000;73 881 000;142 971 000;;;35 514 000;29 181 000;95 556 000;;;173 647 000;238 020 000;186 919 000;;;
657;1151690073480;15.09.2015;10;29.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;67;69;;;;Ликвидировано (29.08.2024).;;368 942 000;179 229 000;;;;516 180 000;544 982 000;;;;256 267 000;286 146 000;;;;368 651 000;179 229 000;;;;
658;1097847084928;25.03.2009;16;11.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;36;36;37;36;Прекратило деятельность при присоединении (11.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";83 192 000;113 166 000;82 060 000;105 760 000;;18 026 000;13 067 000;8 654 000;11 273 000;;5 329 000;4 817 000;20 654 000;10 374 000;;83 160 000;107 837 000;81 738 000;80 583 000;;
659;1126439001204;25.05.2012;13;21.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;16;8;3;2;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (21.05.2025).;;27 087 000;38 465 000;5 530 000;2 740 000;0;5 983 000;4 695 000;3 010 000;24 000;;2 055 000;1 915 000;1 787 000;;;27 087 000;38 465 000;5 530 000;40 000;;-10 000
660;1191690011336;06.02.2019;6;03.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;21;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (03.11.2023).;;54 367 000;103 683 000;;;;52 480 000;34 483 000;;;;50 827 000;33 498 000;;;;49 021 000;103 683 000;;;;
661;1146451000167;29.01.2014;11;24.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;24;16;5;;Ликвидировано (24.07.2024).;;92 764 000;87 283 000;90 609 000;24 023 000;;4 430 000;5 765 000;7 619 000;8 253 000;;1 922 000;;;;;92 764 000;87 283 000;90 609 000;24 023 000;;
662;1176196019340;21.04.2017;8;19.01.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;89;90;64;;;Ликвидировано (19.01.2023).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";440 155 000;517 841 000;408 527 000;;;55 625 000;61 847 000;1 974 000;;;25 830 000;291 000;;;;227 662 000;268 977 000;168 313 000;;;
663;1177456095849;07.11.2017;7;06.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;21;16;14;9;Ликвидировано (06.08.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";6 340 000;7 466 000;6 982 000;8 073 000;9 900 000;2 267 000;2 432 000;2 643 000;1 960 000;1 346 000;780 000;1 046 000;1 296 000;382 000;302 000;6 340 000;7 466 000;6 714 000;8 072 000;9 900 000;-534 000
664;1106440000480;02.07.2010;15;18.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;16;15;4;;Ликвидировано (18.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";4 196 000;4 524 000;4 660 000;1 335 000;;1 197 000;1 391 000;1 428 000;953 000;;202 000;222 000;249 000;;;4 196 000;4 524 000;4 659 000;1 335 000;;
665;1106230003428;09.12.2010;14;06.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;95;93;95;;;Прекратило деятельность при присоединении (06.06.2023).;"""Системообразующие предприятия"", ""Реестр операторов, осуществляющих обработку персональных данных""";6 620 032 000;2 866 193 000;1 748 001 000;;;2 223 566 000;2 290 125 000;2 289 573 000;;;44 213 000;89 779 000;65 014 000;;;314 158 000;375 919 000;419 514 000;;;
666;1151035000270;18.02.2015;10;23.11.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;23;32;;;Прекратило деятельность при присоединении (23.11.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";20 641 000;21 862 000;;;;5 980 000;6 950 000;;;;1 134 000;1 482 000;;;;18 396 000;18 958 000;;;;
667;1170280022736;03.04.2017;8;07.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;224;226;152;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (07.05.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";199 207 000;186 253 000;;;;190 288 000;350 150 000;;;;189 836 000;374 710 000;;;;197 261 000;178 484 000;;;;
668;1181690105596;21.12.2018;6;07.07.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;28;23;;;;Ликвидировано (07.07.2022).;;26 279 000;27 985 000;;;;2 843 000;3 124 000;10 000;;;664 000;648 000;;;;26 279 000;27 980 000;;;;
669;1142721004843;21.07.2014;11;30.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;23;25;16;;Ликвидировано (30.05.2024).;;25 500 000;35 509 000;41 233 000;25 037 000;;37 436 000;53 158 000;70 441 000;57 890 000;;332 000;2 091 000;892 000;228 000;;25 886 000;35 418 000;41 233 000;25 037 000;;
670;1141690092873;09.12.2014;10;29.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;66;36;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (29.12.2022).;;128 185 000;56 014 000;;;;68 860 000;41 875 000;;;;63 330 000;30 724 000;;;;120 101 000;45 591 000;;;;
671;1091690007441;17.02.2009;16;05.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;357;327;322;293;253;Прекратило деятельность при присоединении (05.03.2025).;;1 077 725 000;1 275 153 000;1 418 681 000;1 349 937 000;1 243 585 000;643 813 000;760 311 000;920 091 000;1 065 626 000;1 130 181 000;131 261 000;182 397 000;292 624 000;425 765 000;438 260 000;1 032 944 000;1 191 984 000;1 229 174 000;1 296 156 000;1 207 408 000;52 059 000
672;1101832004713;19.10.2010;14;24.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;35;32;32;;Прекратило деятельность при присоединении (24.06.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";165 773 000;159 986 000;165 959 000;183 524 000;;41 974 000;47 376 000;77 964 000;72 264 000;;68 857 000;69 729 000;99 880 000;95 834 000;;155 704 000;152 530 000;164 933 000;178 985 000;;
673;1182536014407;04.05.2018;7;15.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;22;26;12;;Прекратило деятельность при присоединении (15.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";92 247 000;135 830 000;156 877 000;;;26 832 000;29 417 000;47 051 000;;;37 586 000;38 843 000;51 940 000;;;90 114 000;133 081 000;153 605 000;;;
674;1101414000423;14.10.2010;15;01.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;512;455;434;416;;Прекратило деятельность при присоединении (01.07.2024).;"""Перечень работодателей, деятельность которых отнесена к категории значительного риска""";1 281 298 000;1 285 010 000;1 487 341 000;1 470 596 000;;2 593 773 000;2 573 861 000;3 094 677 000;3 091 472 000;;171 820 000;221 490 000;416 064 000;367 817 000;;612 444 000;1 180 149 000;1 340 492 000;1 449 147 000;;
675;1186501002984;04.05.2018;7;24.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;44;74;70;;Прекратило деятельность при разделении (24.07.2024).;;225 252 000;340 585 000;240 686 000;279 225 000;;56 894 000;178 987 000;174 712 000;113 004 000;;25 696 000;177 500 000;173 543 000;112 991 000;;225 225 000;340 096 000;240 672 000;279 167 000;;
676;1132904000129;06.02.2013;12;09.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;158;134;36;;;Ликвидировано (09.06.2023).;;590 605 000;469 078 000;109 153 000;;;169 978 000;176 315 000;;;;112 969 000;117 664 000;;;;571 684 000;449 505 000;108 859 000;;;
677;1155043003664;25.12.2015;9;10.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;12;17;19;23;Ликвидировано (10.04.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";22 448 000;27 091 000;25 436 000;19 081 000;;19 570 000;14 926 000;10 434 000;8 579 000;;38 455 000;40 629 000;38 335 000;36 252 000;;20 742 000;22 007 000;25 370 000;18 945 000;;
678;1120105000487;14.03.2012;13;28.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;50;47;43;36;;Прекратило деятельность при присоединении (28.06.2024).;;261 296 000;283 128 000;382 148 000;262 881 000;;45 501 000;35 806 000;60 023 000;36 467 000;;43 493 000;40 316 000;64 167 000;40 324 000;;261 192 000;282 625 000;381 984 000;262 620 000;;
679;1167456074917;12.04.2016;9;26.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;63;20;;;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (26.12.2024).;;17 042 000;11 250 000;0;;;3 103 000;4 549 000;4 532 000;4 529 000;;3 297 000;813 000;812 000;812 000;;17 042 000;11 250 000;;;;
680;1160280078947;22.04.2016;9;03.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;21;21;15;12;Ликвидировано (03.09.2025).;;73 775 000;78 786 000;81 353 000;66 606 000;53 144 000;8 086 000;8 912 000;9 142 000;12 599 000;11 418 000;7 265 000;8 088 000;8 312 000;11 763 000;10 579 000;73 775 000;78 786 000;81 353 000;66 606 000;53 133 000;3 000
681;1126679022337;14.08.2012;13;10.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;31;9;;;Ликвидировано (10.02.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";160 428 000;193 531 000;55 654 000;0;;241 798 000;241 821 000;168 972 000;;;227 837 000;225 438 000;154 721 000;;;160 428 000;191 800 000;54 687 000;;;
682;1161101053387;20.04.2016;9;12.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;63;31;1;;;Ликвидировано (12.02.2025).;;353 622 000;118 341 000;;0;66 000;119 176 000;239 000;10 000;10 000;10 000;18 833 000;;;;;335 805 000;118 048 000;;;66 000;48 000
683;1157847173560;18.05.2015;10;17.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;666;6 829;4 590;534;8;Ликвидировано (17.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных частных агентств занятости"", ""Перечень работодателей, деятельность которых отнесена к категории значительного риска""";1 659 054 000;7 064 549 000;9 751 291 000;15 366 586 000;7 123 728 000;655 310 000;1 152 082 000;2 208 356 000;2 761 269 000;333 106 000;603 221 000;1 063 191 000;2 067 631 000;2 528 158 000;2 760 000;1 657 906 000;7 055 688 000;9 714 733 000;15 305 699 000;7 030 463 000;114 882 000
684;1116312005578;22.06.2011;14;18.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;17;10;;;Ликвидировано (18.04.2023).;;118 526 000;125 051 000;59 934 000;;;29 288 000;35 041 000;865 000;;;18 353 000;12 156 000;1 010 000;;;117 269 000;123 863 000;59 349 000;;;
685;1181690062949;02.08.2018;7;13.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;50;;;;Исключение из ЕГРЮЛ недействующего юридического лица (13.12.2024).;;97 527 000;161 242 000;;;;41 384 000;74 376 000;;;;37 883 000;68 695 000;;;;97 203 000;161 040 000;;;;
686;1136453005260;06.11.2013;11;01.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;20;18;16;;Прекратило деятельность при присоединении (01.08.2024).;;70 643 000;69 617 000;46 382 000;50 478 000;;396 847 000;358 875 000;515 347 000;1 184 322 000;;262 795 000;221 050 000;394 020 000;861 352 000;;44 784 000;35 170 000;36 350 000;43 862 000;;
687;1097232011326;30.04.2009;16;12.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;23;25;25;20;Ликвидировано (12.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр перевозчиков зерна""";51 845 000;71 432 000;87 568 000;87 296 000;77 823 000;7 574 000;11 903 000;23 909 000;35 551 000;;2 945 000;3 368 000;2 675 000;3 115 000;;51 841 000;71 431 000;87 523 000;87 198 000;;
688;1131101006838;16.09.2013;12;29.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;52;36;18;;;Ликвидировано вследствие банкротства (29.01.2024).;;226 555;184 470 000;108 151 000;;;30 286 000;24 808 000;8 271 000;;;92 175 000;92 073 000;81 584 000;;;225 528 000;183 863 000;107 781 000;;;
689;1134827002826;26.04.2013;12;26.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;34;32;;;Прекратило деятельность при присоединении (26.12.2022).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр управляющих организаций""";145 616 000;146 059 000;;;;42 834 000;47 306 000;;;;49 007 000;49 297 000;;;;145 319 000;145 454 000;;;;
690;1166313099754;24.05.2016;9;13.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;33;33;7;;Прекратило деятельность при присоединении (13.05.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";226 813 000;241 248 000;238 704 000;66 520 000;;58 727 000;64 664 000;89 075 000;13 068 000;;209 249 000;222 510 000;245 018 000;192 630 000;;223 542 000;230 314 000;233 851 000;62 493 000;;
691;1156952027682;29.12.2015;9;26.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;25;3;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (26.08.2025).;;141 647 000;643 475 000;;;;7 939 000;35 338 000;;;;6 949 000;31 084 000;;;;141 639 000;641 477 000;;;;
692;1127411001783;20.12.2012;12;19.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;37;41;26;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (19.02.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";36 630 000;41 248 000;41 462 000;35 212 000;;36 190 000;27 640 000;21 738 000;;;15 078 000;14 690 000;19 464 000;;;29 855 000;32 067 000;28 995 000;25 526 000;;
693;1176196011177;10.03.2017;8;27.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;63;30;16;1;2;Ликвидировано (27.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";147 725 000;84 632 000;63 379 000;2 000;0;22 720 000;16 982 000;3 773 000;2 082 000;;45 088 000;43 149 000;28 473 000;2 016 000;;147 399 000;84 061 000;63 208 000;;;
694;1196658000505;10.01.2019;6;01.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;47;20;1;;Прекратило деятельность при присоединении (01.08.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";52 597 000;93 368 000;61 976 000;0;;27 122 000;30 256 000;4 515 000;3 033 000;;22 889 000;44 167 000;33 254 000;32 639 000;;50 660 000;90 976 000;43 676 000;;;
695;1166196116712;22.12.2016;8;13.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;24;21;7;;Ликвидировано (13.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";20 074 000;22 694 000;18 211 000;6 184 000;;5 884 000;7 350 000;5 615 000;4 883 000;;3 152 000;3 405 000;3 857 000;3 926 000;;20 055 000;22 584 000;17 913 000;6 166 000;;
696;1167456084872;24.05.2016;9;25.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;9;12;25;26;30;Прекратило деятельность при присоединении (25.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";9 538 000;17 761 000;34 347 000;62 170 000;101 162 000;2 588 000;6 491 000;81 913 000;78 017 000;54 874 000;1 878 000;4 104 000;11 338 000;20 916 000;4 579 000;9 505 000;17 747 000;31 829 000;60 896 000;94 646 000;-6 732 000
697;1137154029308;20.09.2013;12;10.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;59;47;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (10.11.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";254 371 000;220 343 000;;;;151 356 000;83 906 000;;;;115 961 000;27 244 000;;;;245 519 000;219 436 000;;;;
698;1146313000646;26.05.2014;11;16.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;29;30;31;29;Прекратило деятельность при присоединении (16.05.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";28 574 000;32 844 000;33 124 000;43 200 000;48 265 000;26 221 000;21 658 000;17 380 000;16 652 000;26 929 000;21 300 000;13 873 000;12 051 000;6 577 000;11 614 000;28 486 000;30 424 000;33 035 000;43 157 000;45 552 000;6 858 000
699;1191690084519;22.10.2019;5;20.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;23;22;23;2;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (20.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";16 610 000;15 336 000;17 797 000;19 016 000;9 878 000;1 231 000;1 247 000;2 087 000;2 128 000;869 000;86 000;424 000;96 000;761 000;100 000;16 609 000;15 300 000;17 697 000;17 115 000;7 703 000;202 000
700;1186820007758;28.08.2018;7;09.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;22;24;;;Ликвидировано (09.08.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство"", ""Реестр перевозчиков зерна""";56 196 000;52 006 000;67 420 000;;;15 214 000;11 082 000;6 480 000;;;18 378 000;13 875 000;9 243 000;;;54 824 000;44 787 000;65 333 000;;;
701;1116317007487;28.11.2011;13;20.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;21;15;6;;Ликвидировано (20.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";74 267 000;59 246 000;27 290 000;;;23 833 000;12 151 000;3 717 000;;;9 929 000;7 320 000;854 000;;;73 078 000;58 975 000;27 223 000;;;
702;1137328005088;03.09.2013;12;21.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;24;10;;;Прекратило деятельность при присоединении (21.06.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";71 429 000;84 861 000;54 106 000;;;41 382 000;66 249 000;45 308 000;;;23 106 000;39 636 000;18 116 000;;;69 005 000;79 621 000;48 967 000;;;
703;1216100029540;18.10.2021;3;15.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;100;100;101;Прекратило деятельность при присоединении (15.04.2025).;;;0;642 043 000;858 797 000;1 036 656 000;;7 261 000;387 959 000;421 870 000;467 043 000;;7 340 000;384 031 000;324 855 000;220 830 000;;;632 013 000;848 611 000;980 602 000;166 991 000
704;1150280030560;14.05.2015;10;14.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;26;1;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (14.02.2025).;;15 578 000;18 185 000;;;;13 423 000;11 519 000;11 561 000;;;2 512 000;115 000;;;;15 578 000;18 185 000;;;;
705;1171690008710;01.02.2017;8;03.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;19;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (03.11.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";82 047 000;24 343 000;0;;;14 602 000;11 000;;;;801 000;;;;;81 703 000;24 319 000;;;;
706;1147448008443;20.08.2014;11;08.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;20;21;20;20;Ликвидировано (08.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";37 680 000;53 726 000;56 126 000;55 976 000;50 052 000;11 712 000;16 530 000;17 574 000;24 100 000;22 517 000;3 144 000;1 371 000;580 000;3 063 000;3 157 000;37 146 000;51 912 000;55 832 000;55 976 000;50 038 000;-1 708 000
707;1120268003129;19.11.2012;12;05.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;46;42;43;30;14;Ликвидировано (05.09.2025).;;138 611 000;132 808 000;138 483 000;125 090 000;121 738 000;12 168 000;13 902 000;14 342 000;15 640 000;2 855 000;10 785 000;12 518 000;12 953 000;14 244 000;1 456 000;138 591 000;132 786 000;138 453 000;124 609 000;120 691 000;3 000
708;1174827014988;10.08.2017;8;17.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;56;57;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (17.05.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";87 007 000;140 861 000;177 921 000;;;75 619 000;125 907 000;133 885 000;;;5 110 000;23 118 000;13 200 000;;;85 280 000;139 634 000;164 771 000;;;
709;1181690043468;25.05.2018;7;22.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;18;;1;;Прекратило деятельность при присоединении (22.01.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";60 027 000;42 850 000;29 460 000;;;44 305 000;35 585 000;28 789 000;;;43 998 000;32 346 000;25 325 000;;;58 396 000;35 821 000;25 656 000;;;
