№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
705;1115225000032;07.02.2011;14;13.05.2025;12247 - Публичные акционерные общества;16 - Частная собственность;;50;43;54;29;Прекратило деятельность при присоединении (13.05.2025).;"""Реестр перевозчиков зерна""";48 189 000;93 528 000;71 299 000;128 441 000;204 747 000;87 325 000;117 888 000;428 788 000;783 359 000;554 388 000;5 315 000;41 043 000;371 993 000;830 909 000;874 701 000;41 840 000;86 665 000;64 842 000;105 935 000;183 495 000;-272 763 000
706;1207700392503;21.10.2020;4;12.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;45;48;;;Прекратило деятельность при присоединении (12.04.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";;198 947 000;42 054 000;76 935 000;;;237 401 000;192 012 000;39 680 000;;;254 736 000;377 320 000;272 008 000;;;198 499 000;35 257 000;11 708 000;;
707;1095247000958;22.10.2009;15;13.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;21;20;19;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (13.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";89 989 000;100 393 000;96 577 000;96 244 000;;36 631 000;41 281 000;46 526 000;51 436 000;;3 035 000;667 000;750 000;1 069 000;;88 086 000;96 275 000;93 407 000;92 663 000;;
708;1175476112591;30.10.2017;7;11.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;21;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (11.11.2024).;;20 355 000;14 878 000;;;;3 003 000;4 022 000;;;;1 174 000;1 355 000;;;;20 354 000;14 878 000;;;;
709;1195476006373;30.01.2019;6;09.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;52;55;33;;Ликвидировано (09.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";27 863 000;36 956 000;37 259 000;;;772 000;709 000;5 644 000;;;708 000;1 505 000;7 915 000;;;27 863 000;36 956 000;37 257 000;;;
710;1195081066322;11.09.2019;6;11.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;18;25;21;;Ликвидировано (11.09.2024).;;128 628 000;103 225 000;74 488 000;75 165 000;;14 794 000;16 406 000;11 793 000;6 103 000;;-431 000;3 267 000;3 156 000;5 200 000;;128 628 000;103 224 000;74 488 000;75 165 000;;
711;1177746130913;10.02.2017;8;10.01.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;25;;;;Ликвидировано (10.01.2023).;;66 068 000;63 941 000;25 000;;;14 154 000;5 179 000;4 300 000;;;13 639 000;538 000;;;;65 473 000;57 243 000;;;;
712;1197847176790;29.08.2019;6;08.07.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;190;73;;;;Ликвидировано (08.07.2022).;;66 226 000;29 522 000;;;;65 280 000;1 885 000;;;;63 462 000;;;;;59 861 000;25 553 000;;;;
713;1194704028529;12.12.2019;5;11.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;221;223;;;;Ликвидировано (11.05.2022).;;105 738 000;138 970 000;;;;113 051 000;3 915 000;14 000;;;111 024 000;3 173 000;;;;105 138 000;138 967 000;;;;
714;1212400015486;10.06.2021;4;09.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;2;29;28;;Ликвидировано (09.04.2024).;;;41 063 000;217 634;220 714 000;;;56 285 000;65 677 000;22 767 000;;;52 205 000;52 153 000;18 615 000;;;41 062 000;215 760 000;220 306 000;;
